software-name.normalizedForm,version.normalizedForm,publisher.normalizedForm,url.normalizedForm,context
GSEA,NA,NA,NA,"SARS-CoV, MERS-CoV, SARS-CoV-2 transcriptome data from three different studies performed in Calu- 3 cell line at 24 h were analyzed to find significant genes, and GSEA analysis was performed to identify the common activated and suppressed pathways."
BLASTp,NA,NA,NA,A BLASTp search of this pro- tein generated hits to other insect genomes suggesting wide- spread conservation among insect lineages (Supplementary Table S5).
LabVIEW,NA,NA,NA,"All the operation of a microvalve, micropump, and RT-PCR was automatically performed through an in-house LabVIEW program."
majority,NA,NA,NA,NA
NicheNet,NA,NA,NA,We then applied our OmniPath -based version of NicheNet to  rank the overexpressed ligands secreted by infected Calu3 cells that are most likely to be  involved in the regulation of inflammatory response related genes (Methods).
MUSCLE,NA,NA,NA,Complete polyprotein nucleotide sequences were aligned with MUSCLE.
RaptorX Property,NA,NA,NA,A total of five residues (3%) were predicted to be disordered domains by the RaptorX Property server.
Excel,2010,Microsoft,NA,"Data from only two groups were analyzed using the Student's t-test (Welch's t-test) and those of multiple groups were analyzed by one-way ANOVA followed by Tukey's test using Microsoft Excel 2010 software and open-source statistical GraphPad Prism 8 (GraphPad Software, CA, USA)."
VirionFinder,NA,NA,https://github.com/zhenchengfang/VirionFinder,"In this work, we present VirionFinder."
Zoom,NA,NA,NA,"Strategies aimed at protecting healthcare professionals include 12,25 :  none-restricting the number of healthcare professionals who access the facilities and limiting the total number of staff dedicated to patient care; none-encouraging healthcare personnel to remain within the hospital only the time essential for carrying out their care provision tasks; none-promoting teleworking by facilitating remote access to the hospital's medical records, which will avoid putting patients and healthcare professionals at risk, and allow them to work from home; none-suspending department clinical sessions and face-to- face hand-over sessions for shift changes for which modern communication tools can be used, such as free videoconferences that enable several people to connect from different places (Zoom, Skype, Microsoft Teams, etc.); none-in areas where the work is carried out by several people (residents and assistants), distributing the patients to avoid more than one person attending to each patient, and having discussions and information sharing via WhatsApp or by telephone; none-if possible, working in separate offices."
SonarQube,NA,NA,SonarQube.org,"The MicrobeTrace codebase is regularly  scanned by Fortify Software (HP Enterprise Security Products, 2020) and SonarQube (SonarQube.org,"
ggplot,3.3.0,NA,NA,with ggplot2 package (version: 3.3.0) 18
Geneious,10.2.6,Biomatters Ltd,NA,"Geneious 10.2.6 (Biomatters Ltd) was used for finding open reading frames (ORFs), aligning contigs as well as mapping the reads against the putative virus contigs (Geneious assembler with medium- low sensitivity)."
FACS,3,NA,NA,"Data acquisition was performed by using CellQuest Pro software, and data were analyzed using FACS 3 software to evaluate gated CD11c + cell populations."
ParInt,NA,NA,NA,"Subsequently in this paper, the adaptive methods ParInt and ParAdapt will be discussed in Sects. 2 and 3, respectively."
SPSS,23.0,NA,NA,"Bland-Altman analysis of qRT-PCR, OSN-qRT-PCR, and ddPCR results for patient samples was evaluated by SPSS 23.0 statistical software."
Statistical Package for the Social Sciences,22,SPSS,NA,"All analyses were performed using the Statistical Package for the Social Sciences v22 (SPSS, Chicago, IL, USA)."
mcsta,NA,NA,NA,NA
Breseq,0.18,NA,NA,"The sensitivity/speci- ficity tradeoff results here suggest that while model-based approaches (SNVer, Breseq) provide an improvement over ad hoc approaches, further significant gains in sensitivity are possible (without loss in specificity) using a quality-aware approach (LoFreq)."
newcpgseek,NA,NA,NA,The newcpgseek tool [62] with threshold 17 was used for determining CpG islands in SARS-CoV-2.
SeRenDIP-CE,NA,NA,NA,"On each target sequence, the backbone dynamics (DynaMine) 1,2 , and related side-chain dynamics and conformational propensities 3 were predicted at the per-amino acid level, as well as early folding (EFoldMine) 3 , disorder (DisoMine) 4 , b-sheet aggregation (Agmata) 5 , protein- protein interactions (SeRenDIP) 6,10 , and SeRenDIP-CE epitope propensities 7 ."
EndNote,7,NA,NA,"This can be done by creating Group Sets by first importing, for example, all identified studies from the PubMed database into EndNote and then right clicking in the left-hand column of the EndNote Screen under ""My Groups"" and selecting ""Create Group Set."""
MCSAT,NA,NA,NA,MCSAT is an alternative to CDCL(T) for SMT solving and can be seen as an extension of CDCL to domains other than the Booleans.
Epock VMD,NA,NA,NA,Pocket volume was com- puted using the Epock VMD plugin with the standard program settings. 59
Nimblescan,2.5,NA,NA,"Initially, the standard Nimblescan software which employs a gain-of-signal approach [PBC algorithm (8)], was used to determine the viral sequence."
SAS,9.4,"SAS Institute, Inc",NA,"All ana- lyses were performed using SAS version 9.4 (SAS Institute, Inc., Cary, North Carolina, USA)."
SPSS,25.0,IBM,NA,"Statistical analyses were performed using SPSS 25.0 (IBM), and P < 0.05 was considered statistically significant."
