hint,coding_id,sample_id,coding_scheme,coding_result,
Check `context`,A1,' 0-21-0 ',The extracted mention is a mention of software.,1,
,A2,' 0-21-0 ',"The mention is an ""instrument-like"" mention.",0,
Check `software_name`,A3,' 0-21-0 ',The name of the mentioned software is given in context.,1,
,A4,' 0-21-0 ',The extracted `software_name` is the name of the mentioned software.,1,
Check `version`,A5,' 0-21-0 ',The version/release date of the mentioned software is given in context.,0,
,A6,' 0-21-0 ',The extracted `version` is an existing version of the mentioned software.,0,
Check `publisher`,A7,' 0-21-0 ',The publisher/developer of the mentioned software is given in context.,0,
,A8,' 0-21-0 ',The extracted `publisher` is the publisher/creator of the mentioned software.,0,
Check `URL`,A9,' 0-21-0 ',The URL of the mentioned software is given in context.,0,
,A10,' 0-21-0 ',The extracted `URL` is the URL of the mentioned software. The URL can be a resolvable identifier.,0,
Check `context`,A11,' 0-21-0 ',"Additional configuration details of the software is given (e.g., operating environment)",0,
Indicating whether the software is used should be one of the citation functions.,A12,' 0-21-0 ',The mentioned software is used according to the context.,1,
,A13,' 0-21-0 ',The mentioned software is not used according to the context.,0,
Check `tei`,B1,' 0-21-0 ',The mention has an extracted reference entry from bibliography.,1,
,B2,' 0-21-0 ',The extracted reference entry is the reference of this work.,1,
,B3,' 0-21-0 ',The reference is a software publication.,1,
,B4,' 0-21-0 ',"The reference points to the software itself in any form (e.g., source code; container; executable) or its metadata.",0,
,B5,' 0-21-0 ',The reference is a domain science publication.,0,
,B6,' 0-21-0 ',The reference is a software manual/user guide.,0,
,B7,' 0-21-0 ',The reference points to a project but the not the software product.,0,
"If the extracted reference entry is not the right one, then check the actual reference entry in the publication.",B8,' 0-21-0 ',Paste the reference string from the publication if the extracted one is not correct:,,
,B9,' 0-21-0 ',The reference string contains the name of the software.,1,
,B10,' 0-21-0 ',The reference string contains version/release date of the software.,0,
,B11,' 0-21-0 ',The reference string contains an URL of the software/project. The URL can be a resolvable identifier.,0,
,B12,' 0-21-0 ',The reference string contains the publisher/creator of the mentioned software.,1,
Citation functions,C1,' 0-21-0 ',The software is an identifiable entity with the extracted information.,1,
,C2,' 0-21-0 ',"According to both in-text mention and references, at least one online presence (e.g., source code or online manual) of the software is findable.",1,
,C3,' 0-21-0 ',"According to both in-text mention and references, the specific version of the software mentioned in the article is findable online (if there is one).",NA,
