doc_key,anno_key,sample_id,doc_num,anno_num,context,software_name,version,publisher,url,DOI,cord_sha,doc_title,doc_subtitle,journal_title,journal_short_title,document_type,journal_subject,journal_issue,issue_dates,journal_publisher,doc_link,jif_rank,jif,journal_total_cites,stratum,mention_density,mention_density_group,group_num,references,ref_id_list,refs,ref_id,ref_key,tei,refKey,ref_doc_key,issue_year,issue_month,issue_day
60c67f207723bebd8668a0e4,60c67f207723bebd8668a0e6,'1-25-0',25,0,"The tree is based on published trees of Coronavirinae 25,136 and reconstructed with sequences of the complete RNA-dependent RNA polymerase-coding region of the representative coronaviruses (maximum likelihood method under the GTR + I + Γ model of nucleotide substitution as implemented in PhyML , version 3.1 (rEF. 137",PhyML,3.1,NA,NA,10.1038/s41579-018-0118-9,8bcd1c3897124adec322dffb8a315fc4e24cb17e,Origin and evolution of pathogenic coronaviruses,NA,Nature Reviews Microbiology,Nat Rev Microbiol,journal-article,['General Immunology and Microbiology'],3,"2018, 12, 10",Springer Science and Business Media LLC,"[{'URL': 'http://www.nature.com/articles/s41579-018-0118-9', 'content-version': 'vor', 'intended-application': 'text-mining', 'content-type': 'text/html'}, {'URL': 'http://www.nature.com/articles/s41579-018-0118-9.pdf', 'content-version': 'vor', 'intended-application': 'text-mining', 'content-type': 'application/pdf'}, {'URL': 'http://www.nature.com/articles/s41579-018-0118-9.pdf', 'content-version': 'vor', 'intended-application': 'similarity-checking', 'content-type': 'application/pdf'}]",10,60.633,43313,"[1,10]",2,"[2,8]",1,NA,NA,NA,NA,NA,NA,NA,NA,2018,12,10
60c48f067723bebd8666da0d,60c48f067723bebd8666da0e,'3-0-0',0,0,Area of percent posi- tive staining was quantified by ZEN (Zeiss) or HALO software (Indica Labs) as previously described. 4,HALO,NA,Indica Labs,NA,10.1161/circulationaha.120.051828,NA,Microthrombi as a Major Cause of Cardiac Injury in COVID-19,A Pathologic Study,Circulation,Circulation,journal-article,"['Physiology (medical)', 'Cardiology and Cardiovascular Medicine']",10,"2021, 3, 9",Ovid Technologies (Wolters Kluwer Health),NA,62,29.69,190210,"[11,100]",1,"[0,1]",3,NA,NA,NA,NA,NA,NA,NA,NA,2021,3,9
60c69c037723bebd8668bcdf,60c69c037723bebd8668bce0,'3-2-0',2,0,"One participant produces and publishes online videos using Twitch where anyone can watch the inspection, refinement, and rebuilding of previously deposited or predicted structures related to this virus.",Twitch,NA,NA,NA,10.1016/j.cell.2020.09.027,NA,Lifted Up from Lockdown,NA,Cell,Cell,journal-article,"['General Biochemistry, Genetics and Molecular Biology']",1,"2020, 10",Elsevier BV,"[{'URL': 'https://api.elsevier.com/content/article/PII:S0092867420312241?httpAccept=text/xml', 'content-version': 'vor', 'intended-application': 'text-mining', 'content-type': 'text/xml'}, {'URL': 'https://api.elsevier.com/content/article/PII:S0092867420312241?httpAccept=text/plain', 'content-version': 'vor', 'intended-application': 'text-mining', 'content-type': 'text/plain'}]",33,41.582,320407,"[11,100]",1,"[0,1]",3,NA,NA,NA,NA,NA,NA,NA,NA,2020,10,NA
60c3b00a7723bebd86660632,60c3b00a7723bebd86660633,'3-3-0',3,0,"The APS also made an effort to recreate the social experience of a conference by organizing virtual meet-ups, and some delegates set up their own discus- sions using messaging tools such as Slack.",Slack,NA,NA,NA,10.1038/d41586-020-01239-2,NA,‘Loving the minimal FOMO’: First major physics conference to go virtual sees record attendance,NA,Nature,Nature,journal-article,['Multidisciplinary'],7805,"2020, 4",Springer Science and Business Media LLC,"[{'URL': 'http://www.nature.com/articles/d41586-020-01239-2.pdf', 'content-version': 'vor', 'intended-application': 'text-mining', 'content-type': 'application/pdf'}, {'URL': 'http://www.nature.com/articles/d41586-020-01239-2', 'content-version': 'vor', 'intended-application': 'text-mining', 'content-type': 'text/html'}, {'URL': 'http://www.nature.com/articles/d41586-020-01239-2.pdf', 'content-version': 'vor', 'intended-application': 'similarity-checking', 'content-type': 'application/pdf'}]",22,49.962,915925,"[11,100]",1,"[0,1]",3,NA,NA,NA,NA,NA,NA,NA,NA,2020,4,NA
60c51db77723bebd8667643d,60c51db77723bebd8667643f,'4-0-0',0,0,"Analyses were performed using SAS, version 9.4 (SAS Institute), and Stata 16 (StataCorp); the figure was produced using the ggplot2 package in R (R Foundation for Statistical Computing).",Stata,16,StataCorp,NA,10.7326/m20-7580,776e049333c86365c77eee33a4d74606bece46e0,Cross-sectional Assessment of COVID-19 Vaccine Acceptance Among Health Care Workers in Los Angeles,NA,Annals of Internal Medicine,Ann Intern Med,journal-article,"['Internal Medicine', 'General Medicine']",NA,"2021, 2, 9",American College of Physicians,NA,86,25.391,72588,"[11,100]",3,"[2,8]",4,NA,NA,NA,NA,NA,NA,NA,NA,2021,2,9
60c312ad7723bebd86656a75,60c312ad7723bebd86656a79,'4-2-0',2,0,I'll be tracking insti- tutional-level milestones using Evernote and Confluence project-management software.,Evernote,NA,NA,NA,10.1038/d41586-020-00935-3,NA,Science-ing from home,NA,Nature,Nature,journal-article,['Multidisciplinary'],7803,"2020, 3, 26",Springer Science and Business Media LLC,"[{'URL': 'http://www.nature.com/articles/d41586-020-00935-3.pdf', 'content-version': 'vor', 'intended-application': 'text-mining', 'content-type': 'application/pdf'}, {'URL': 'http://www.nature.com/articles/d41586-020-00935-3', 'content-version': 'vor', 'intended-application': 'text-mining', 'content-type': 'text/html'}, {'URL': 'http://www.nature.com/articles/d41586-020-00935-3.pdf', 'content-version': 'vor', 'intended-application': 'similarity-checking', 'content-type': 'application/pdf'}]",22,49.962,915925,"[11,100]",7,"[2,8]",4,NA,NA,NA,NA,NA,NA,NA,NA,2020,3,26
60c797697723bebd8669a6a0,60c797697723bebd8669a6a9,'5-0-0',0,0,"For IgG quantification, data were analyzed using ForeCyt software version 6.2 (IntelliCyt Corp).",ForeCyt,6.2,IntelliCyt Corp,NA,10.1038/s41591-020-0998-x,NA,Rapid isolation and profiling of a diverse panel of human monoclonal antibodies targeting the SARS-CoV-2 spike protein,NA,Nature Medicine,Nat Med,journal-article,"['General Biochemistry, Genetics and Molecular Biology', 'General Medicine']",9,"2020, 7, 10",Springer Science and Business Media LLC,"[{'URL': 'http://www.nature.com/articles/s41591-020-0998-x.pdf', 'content-version': 'vor', 'intended-application': 'text-mining', 'content-type': 'application/pdf'}, {'URL': 'http://www.nature.com/articles/s41591-020-0998-x', 'content-version': 'vor', 'intended-application': 'text-mining', 'content-type': 'text/html'}, {'URL': 'http://www.nature.com/articles/s41591-020-0998-x.pdf', 'content-version': 'vor', 'intended-application': 'similarity-checking', 'content-type': 'application/pdf'}]",18,53.44,114401,"[11,100]",21,"[9,350]",5,NA,NA,NA,NA,NA,NA,NA,NA,2020,7,10
60c27f637723bebd8664d97f,60c27f637723bebd8664d980,'6-1-0',1,0,"All statistical analyses were performed using SPSS soft- ware, version 26.0 (IBM Corporation).",SPSS,26.0,IBM Corporation,NA,10.1001/jamainternmed.2020.3862,NA,Clinical Course and Molecular Viral Shedding Among Asymptomatic and Symptomatic Patients With SARS-CoV-2 Infection in a Community Treatment Center in the Republic of Korea,NA,JAMA Internal Medicine,JAMA Intern Med,journal-article,['Internal Medicine'],11,"2020, 11, 1",American Medical Association (AMA),"[{'URL': 'https://jamanetwork.com/journals/jamainternalmedicine/articlepdf/2769235/jamainternal_lee_2020_oi_200057_1603479600.04745.pdf', 'content-version': 'vor', 'intended-application': 'similarity-checking', 'content-type': 'unspecified'}]",116,21.873,25002,"[101,1000]",1,"[0,1]",6,NA,NA,NA,NA,NA,NA,NA,NA,2020,11,1
60c214a27723bebd86646007,60c214a27723bebd86646008,'6-4-0',4,0,Prompts were delivered and responses collected via LifeData software.,LifeData,NA,NA,NA,10.1177/2167702621993857,NA,Increase in Suicidal Thinking During COVID-19,NA,Clinical Psychological Science,Clinical Psychological Science,journal-article,['Clinical Psychology'],NA,"2021, 3, 15",SAGE Publications,"[{'URL': 'http://journals.sagepub.com/doi/pdf/10.1177/2167702621993857', 'content-version': 'vor', 'intended-application': 'text-mining', 'content-type': 'application/pdf'}, {'URL': 'http://journals.sagepub.com/doi/full-xml/10.1177/2167702621993857', 'content-version': 'vor', 'intended-application': 'text-mining', 'content-type': 'application/xml'}, {'URL': 'http://journals.sagepub.com/doi/pdf/10.1177/2167702621993857', 'content-version': 'vor', 'intended-application': 'syndication', 'content-type': 'application/pdf'}, {'URL': 'http://journals.sagepub.com/doi/pdf/10.1177/2167702621993857', 'content-version': 'vor', 'intended-application': 'similarity-checking', 'content-type': 'unspecified'}]",905,7.169,3811,"[101,1000]",1,"[0,1]",6,NA,NA,NA,NA,NA,NA,NA,NA,2021,3,15
60c454c37723bebd8666a557,60c454c37723bebd8666a558,'6-5-0',5,0,"A predesigned Excel spreadsheet was used to extract data, including design type, intervention, patient, outcome, and so forth.",Excel,NA,NA,NA,10.1016/j.eng.2020.03.002,165562ba942e0a8aa506fdf31fd8ade1a7e0ef1e,Core Outcome Set for Clinical Trials on Coronavirus Disease 2019 (COS-COVID),NA,Engineering,Engineering,journal-article,"['General Engineering', 'Environmental Engineering', 'General Computer Science', 'Energy Engineering and Power Technology', 'Materials Science (miscellaneous)', 'General Chemical Engineering']",10,"2020, 10",Elsevier BV,"[{'URL': 'https://api.elsevier.com/content/article/PII:S2095809920300424?httpAccept=text/xml', 'content-version': 'vor', 'intended-application': 'text-mining', 'content-type': 'text/xml'}, {'URL': 'https://api.elsevier.com/content/article/PII:S2095809920300424?httpAccept=text/plain', 'content-version': 'vor', 'intended-application': 'text-mining', 'content-type': 'text/plain'}]",806,7.553,4023,"[101,1000]",1,"[0,1]",6,NA,NA,NA,NA,NA,NA,NA,NA,2020,10,NA
