sample_id,anno_key,doc_key,context,software_name,version,publisher,url,DOI,cord_sha,doc_title,doc_subtitle,journal_title,journal_short_title,document_type,journal_subject,journal_issue,issue_dates,journal_publisher,doc_link,jif_rank,jif,journal_total_cites,stratum,mention_density,mention_density_group,group_num,doc_num,anno_num,references,ref_id_list,refs,ref_id,ref_key,tei,refKey,ref_doc_key
' 3-53-0 ',60c272887723bebd8664c889,60c272887723bebd8664c888,"Digital images were acquired with a Gatan Rio bottom mount digital camera system (Gatan Inc., Pleasanton, CA and processed using Adobe Photoshop v. CC 2019 (Adobe Systems Inc, San Jose, CA).",Adobe Photoshop,CC 2019,Adobe Systems Inc,NA,10.1038/s41586-020-2324-7,add4843c27d6fad1245125b8f3f9ee2785848d43,Respiratory disease in rhesus macaques inoculated with SARS-CoV-2,NA,Nature,Nature,journal-article,['Multidisciplinary'],7824,"[[2020, 5, 12]]",Springer Science and Business Media LLC,"[{'URL': 'http://www.nature.com/articles/s41586-020-2324-7.pdf', 'content-version': 'vor', 'intended-application': 'text-mining', 'content-type': 'application/pdf'}, {'URL': 'http://www.nature.com/articles/s41586-020-2324-7', 'content-version': 'vor', 'intended-application': 'text-mining', 'content-type': 'text/html'}, {'URL': 'http://www.nature.com/articles/s41586-020-2324-7.pdf', 'content-version': 'vor', 'intended-application': 'similarity-checking', 'content-type': 'application/pdf'}]",22,49.962,915925,"[11,100]",1,"[0,1]",3,53,0,NA,NA,NA,NA,NA,NA,NA,NA
' 0-28-0 ',60c2d44f7723bebd86652d3d,60c2d44f7723bebd86652d3c,"There are four GSDMB isoforms (1-4; Ensembl: ENSG00000073605), but whether these isoforms are expressed in a tissue or cell-specific manner is unknown.",Ensembl,NA,NA,NA,10.1038/s41573-021-00154-z,58dfef64b66e0456e507169a11031a4c73fb2eee,Channelling inflammation: gasdermins in physiology and disease,NA,Nature Reviews Drug Discovery,Nat Rev Drug Discov,journal-article,"['Pharmacology', 'Drug Discovery', 'General Medicine']",NA,"[[2021, 3, 10]]",Springer Science and Business Media LLC,"[{'URL': 'http://www.nature.com/articles/s41573-021-00154-z.pdf', 'content-version': 'vor', 'intended-application': 'text-mining', 'content-type': 'application/pdf'}, {'URL': 'http://www.nature.com/articles/s41573-021-00154-z', 'content-version': 'vor', 'intended-application': 'text-mining', 'content-type': 'text/html'}, {'URL': 'http://www.nature.com/articles/s41573-021-00154-z.pdf', 'content-version': 'vor', 'intended-application': 'similarity-checking', 'content-type': 'application/pdf'}]",4,84.694,41989,"[1,10]",1,"[0,1]",0,28,0,NA,NA,NA,NA,NA,NA,NA,NA
' 0-17-0 ',60c2f2147723bebd86654c47,60c2f2147723bebd86654c46,An internal central site monitoring tool was built based on SAS programs and Spotfire analytics tools.,SAS,NA,NA,NA,10.1056/nejmoa2030340,374ebc6bdf6508f3bb6569e894ff523cee48e988; cd27494f49a80fcbed5e8cd07ccdf4406d0b0d94; cd57db5070e951d34cc393a4889b47d38286dccd; 9548d5a82b7e4b13e140d34514a0eccc966808de,Tocilizumab in Patients Hospitalized with Covid-19 Pneumonia,NA,New England Journal of Medicine,N Engl J Med,journal-article,['General Medicine'],1,"[[2021, 1, 7]]",Massachusetts Medical Society,"[{'URL': 'http://www.nejm.org/doi/pdf/10.1056/NEJMoa2030340', 'content-version': 'vor', 'intended-application': 'similarity-checking', 'content-type': 'unspecified'}]",3,91.245,464351,"[1,10]",1,"[0,1]",0,17,0,NA,NA,NA,NA,NA,NA,NA,NA
' 1-7-2 ',60c28f767723bebd8664e9d0,60c28f767723bebd8664e9cf,"We performed multiple sequence alignments with the ClustalW program using MEGA soft- ware, version 5.05.",ClustalW,NA,NA,NA,10.1056/nejmoa1304459,NA,Human Infection with a Novel Avian-Origin Influenza A (H7N9) Virus,NA,New England Journal of Medicine,N Engl J Med,journal-article,['General Medicine'],20,"[[2013, 5, 16]]",Massachusetts Medical Society,"[{'URL': 'http://www.nejm.org/doi/pdf/10.1056/NEJMoa1304459', 'content-version': 'vor', 'intended-application': 'similarity-checking', 'content-type': 'unspecified'}]",3,91.245,464351,"[1,10]",3,"[2,8]",1,7,2,NA,NA,NA,NA,NA,NA,NA,NA
' 1-23-2 ',60c2a5b57723bebd8664febe,60c2a5b57723bebd8664febd,§ Values were calculated using ProtParam 132 .,ProtParam,NA,NA,NA,10.1038/nrmicro2452,59cbab09b50af6cfb9ce68f304a8b7d85952a008,Viral security proteins: counteracting host defences,NA,Nature Reviews Microbiology,Nat Rev Microbiol,journal-article,['General Immunology and Microbiology'],12,"[[2010, 11, 9]]",Springer Science and Business Media LLC,"[{'URL': 'http://www.nature.com/articles/nrmicro2452.pdf', 'content-version': 'vor', 'intended-application': 'text-mining', 'content-type': 'application/pdf'}, {'URL': 'http://www.nature.com/articles/nrmicro2452', 'content-version': 'vor', 'intended-application': 'text-mining', 'content-type': 'text/html'}, {'URL': 'http://www.nature.com/articles/nrmicro2452.pdf', 'content-version': 'vor', 'intended-application': 'similarity-checking', 'content-type': 'application/pdf'}]",10,60.633,43313,"[1,10]",4,"[2,8]",1,23,2,NA,NA,NA,NA,NA,NA,NA,NA
' 3-63-0 ',60c23b497723bebd86648931,60c23b497723bebd86648930,"Statistical analysis was performed using GraphPad Prism version 8.4.2 for Windows (GraphPad Software, La Jolla, CA).",GraphPad Prism,8.4.2,GraphPad Software,NA,10.1161/circulationaha.120.048925,1ce049f61dec467a26e614192602b5875a4c317b,Systemic Inflammatory Response Syndrome Is a Major Contributor to COVID-19–Associated Coagulopathy,"Insights From a Prospective, Single-Center Cohort Study",Circulation,Circulation,journal-article,"['Physiology (medical)', 'Cardiology and Cardiovascular Medicine']",6,"[[2020, 8, 11]]",Ovid Technologies (Wolters Kluwer Health),NA,62,29.69,190210,"[11,100]",1,"[0,1]",3,63,0,NA,NA,NA,NA,NA,NA,NA,NA
' 3-210-0 ',60c23e947723bebd86648f04,60c23e947723bebd86648f03,"All statistical analysis was carried out using SPSS Statistics version 26.0 (IBM, New York, NY).",SPSS Statistics,26,IBM,NA,10.1016/j.annonc.2020.03.296,69fcd5a6ad61d2444707e474d078bca00f52c0fe; d9dcb14ca476c86cc7c61f7650b76b47def235d4,"Clinical characteristics of COVID-19-infected cancer patients: a retrospective case study in three hospitals within Wuhan, China",NA,Annals of Oncology,Annals of Oncology,journal-article,"['Oncology', 'Hematology']",7,"[[2020, 7]]",Elsevier BV,"[{'URL': 'https://api.elsevier.com/content/article/PII:S0923753420363833?httpAccept=text/xml', 'content-version': 'vor', 'intended-application': 'text-mining', 'content-type': 'text/xml'}, {'URL': 'https://api.elsevier.com/content/article/PII:S0923753420363833?httpAccept=text/plain', 'content-version': 'vor', 'intended-application': 'text-mining', 'content-type': 'text/plain'}]",50,32.976,61542,"[11,100]",1,"[0,1]",3,210,0,NA,NA,NA,NA,NA,NA,NA,NA
' 4-85-0 ',60c219ab7723bebd866465aa,60c219ab7723bebd866465a9,LegendPlex data analysis software Version 8 for windows was used for data analysis.,LegendPlex,8,NA,NA,10.1016/j.ccell.2021.01.001,0b3532ee8af99b16e1ffa2363522807e8e352ffa; 65d03ef196afe53cdf67e5c500232babb60d1f97,Acute Immune Signatures and Their Legacies in Severe Acute Respiratory Syndrome Coronavirus-2 Infected Cancer Patients,NA,Cancer Cell,Cancer Cell,journal-article,"['Cell Biology', 'Cancer Research', 'Oncology']",2,"[[2021, 2]]",Elsevier BV,"[{'URL': 'https://api.elsevier.com/content/article/PII:S1535610821000015?httpAccept=text/xml', 'content-version': 'vor', 'intended-application': 'text-mining', 'content-type': 'text/xml'}, {'URL': 'https://api.elsevier.com/content/article/PII:S1535610821000015?httpAccept=text/plain', 'content-version': 'vor', 'intended-application': 'text-mining', 'content-type': 'text/plain'}]",55,31.743,50839,"[11,100]",8,"[2,8]",4,85,0,NA,NA,NA,NA,NA,NA,NA,NA
' 4-161-1 ',60c21b797723bebd86646762,60c21b797723bebd86646761,"Singapore's TraceTogether app has been downloaded by about 25% of its population, much less than the 60% needed.",TraceTogether,NA,NA,NA,10.1038/d41586-020-01578-0,NA,Ethical guidelines for COVID-19 tracing apps,NA,Nature,Nature,journal-article,['Multidisciplinary'],7810,"[[2020, 5, 28]]",Springer Science and Business Media LLC,"[{'URL': 'http://www.nature.com/articles/d41586-020-01578-0.pdf', 'content-version': 'vor', 'intended-application': 'text-mining', 'content-type': 'application/pdf'}, {'URL': 'http://www.nature.com/articles/d41586-020-01578-0', 'content-version': 'vor', 'intended-application': 'text-mining', 'content-type': 'text/html'}, {'URL': 'http://www.nature.com/articles/d41586-020-01578-0.pdf', 'content-version': 'vor', 'intended-application': 'similarity-checking', 'content-type': 'application/pdf'}]",22,49.962,915925,"[11,100]",4,"[2,8]",4,161,1,NA,NA,NA,NA,NA,NA,NA,NA
' 5-128-3 ',60c230337723bebd86647b2a,60c230337723bebd86647b29,Data acquisition and analysis were performed using xPONENT software (www.luminexcorp. com/xponent/).,xPONENT,NA,NA,www.luminexcorp. com/xponent,10.1126/science.abc8511,b54515a291142c481fea3754c8fdfd17d1903045,Deep immune profiling of COVID-19 patients reveals distinct immunotypes with therapeutic implications,NA,Science,Science,journal-article,['Multidisciplinary'],6508,"[[2020, 7, 15]]",American Association for the Advancement of Science (AAAS),"[{'URL': 'https://syndication.highwire.org/content/doi/10.1126/science.abc8511', 'content-version': 'vor', 'intended-application': 'syndication', 'content-type': 'unspecified'}, {'URL': 'https://syndication.highwire.org/content/doi/10.1126/science.abc8511', 'content-version': 'vor', 'intended-application': 'similarity-checking', 'content-type': 'unspecified'}]",25,47.728,814971,"[11,100]",10,"[9,350]",5,128,3,NA,NA,NA,NA,NA,NA,NA,NA
' 5-73-35 ',60c2321f7723bebd86647cc8,60c2321f7723bebd86647cc4,"Ensembl gene identifiers were mapped to UniProt identifiers and protein sequences using a table of ID mappings and reference proteome se- quences for H.sapiens downloaded from Uniprot on April 6, 2020.",Ensembl,NA,NA,NA,10.1016/j.cell.2020.06.034,cb591f19683ae53ef534b19b19fe16d76e14d080,The Global Phosphorylation Landscape of SARS-CoV-2 Infection,NA,Cell,Cell,journal-article,"['General Biochemistry, Genetics and Molecular Biology']",3,"[[2020, 8]]",Elsevier BV,"[{'URL': 'https://api.elsevier.com/content/article/PII:S0092867420308114?httpAccept=text/xml', 'content-version': 'vor', 'intended-application': 'text-mining', 'content-type': 'text/xml'}, {'URL': 'https://api.elsevier.com/content/article/PII:S0092867420308114?httpAccept=text/plain', 'content-version': 'vor', 'intended-application': 'text-mining', 'content-type': 'text/plain'}]",33,41.582,320407,"[11,100]",36,"[9,350]",5,73,35,NA,NA,NA,NA,NA,NA,NA,NA
' 6-693-0 ',60c20c477723bebd86645533,60c20c477723bebd86645532,Data management and statistical analyses were performed using Stata 16 MP.,Stata,16 MP,NA,NA,10.1371/journal.pmed.1003308,e81d87ea35be397b6cafe6853d9dff21b5b7a1d1,Adverse outcomes and mortality in users of non-steroidal anti-inflammatory drugs who tested positive for SARS-CoV-2: A Danish nationwide cohort study,NA,PLOS Medicine,PLoS Med,journal-article,['General Medicine'],9,"[[2020, 9, 8]]",Public Library of Science (PLoS),"[{'URL': 'https://dx.plos.org/10.1371/journal.pmed.1003308', 'content-version': 'vor', 'intended-application': 'similarity-checking', 'content-type': 'unspecified'}]",388,11.069,42445,"[101,1000]",1,"[0,1]",6,693,0,NA,NA,NA,NA,NA,NA,NA,NA
' 6-2365-0 ',60c20c887723bebd86645573,60c20c887723bebd86645572,"All statistical analyses were performed using MedCalc for Windows, version 9.3.9.0 (MedCalc Software, Mariakerke, Belgium).",MedCalc,9.3.9.0,MedCalc Software,NA,10.1161/strokeaha.113.004260,NA,Impact of Pretreatment Noncontrast CT Alberta Stroke Program Early CT Score on Clinical Outcome After Intra-Arterial Stroke Therapy,NA,Stroke,Stroke,journal-article,"['Advanced and Specialised Nursing', 'Clinical Neurology', 'Cardiology and Cardiovascular Medicine']",3,"[[2014, 3]]",Ovid Technologies (Wolters Kluwer Health),NA,733,7.914,78912,"[101,1000]",1,"[0,1]",6,2365,0,NA,NA,NA,NA,NA,NA,NA,NA
